,spread,beta,z_score,short,long,exit,close_1,close_2
2009-09-01,2.2711917144712217,0.4802702787594795,2.410503590317582,True,False,False,36.910404205322266,18.920351028442383
2009-09-02,1.9507582729491233,0.4817694737882512,2.026873181984605,False,False,False,36.70798110961914,18.516393661499023
2009-09-03,2.0569278442431767,0.4833603378102612,2.1181023300808812,False,False,False,37.56540298461914,19.051359176635742
2009-09-04,1.8036878830177443,0.48630915306890893,1.8230574661520407,False,False,False,38.13105010986328,19.095033645629883
2009-09-08,1.8356925097320271,0.49007916729046197,1.844037854517263,False,False,False,39.625572204589844,19.886564254760742
2009-09-09,1.6403487498505989,0.49285296538690304,1.6126356568106082,False,False,False,40.524635314941406,20.159507751464844
2009-09-10,1.6480020946395477,0.4960008905324884,1.6063547483362166,False,False,False,41.108184814453125,20.487043380737305
2009-09-11,1.8411506234620596,0.49906544412496606,1.8002945466824236,False,False,False,40.66756057739258,20.49250030517578
2009-09-14,1.9530588269639786,0.5022185437958996,1.9009064913963343,False,False,False,41.94770431518555,21.27857208251953
2009-09-15,1.7914097040264103,0.5044784656821317,1.7067137194999307,False,False,False,42.93016815185547,21.638851165771484
2009-09-16,1.2063573010422708,0.5080494124425872,1.0629663137401062,False,False,False,45.76439666748047,22.534099578857422
2009-09-17,1.614086725089173,0.5104367194938324,1.4924136531892445,False,False,False,44.7462272644043,22.45768165588379
2009-09-18,1.4845937653773262,0.5123058092401651,1.3440330591773786,False,False,False,45.097530364990234,22.534099578857422
2009-09-21,1.6224935382209047,0.5132113084144283,1.486302442803631,False,False,False,44.5020751953125,22.381256103515625
2009-09-22,1.8805576474587156,0.5160707400201517,1.7469870350251075,False,False,False,45.75844192504883,23.32563591003418
2009-09-23,2.5323697283873194,0.5189258774044123,2.4075637594635166,False,False,False,43.51369857788086,22.85617446899414
2009-09-24,2.0882668724212508,0.522050089302011,1.9173541392184463,False,False,False,43.274375915527344,22.326669692993164
2009-09-25,1.9768506131150971,0.5273094154390865,1.781079922470811,False,False,False,43.31658172607422,22.299379348754883
2009-09-28,1.0794178921362736,0.5340336554580427,0.8390382999442932,False,False,True,45.26961898803711,22.520160675048828
2009-09-29,1.0855527902863749,0.5399630738869635,0.8385864218311153,False,False,False,44.29309844970703,22.078582763671875
2009-09-30,1.383267254513342,0.5495186138946545,1.1431283976488955,False,False,False,43.841007232666016,22.24417495727539
2009-10-01,1.516987619346338,0.5597828448433414,1.2772589080522099,False,False,False,41.2851676940918,21.06848907470703
2009-10-02,1.5079073604940412,0.56511243086328,1.2571608319236778,False,False,False,40.9837760925293,20.941545486450195
2009-10-05,1.016795271708144,0.5693410975470581,0.7342729942041812,False,False,False,42.5028190612793,21.355512619018555
2009-10-06,1.2719089417610085,0.5727767055757116,0.9968426244360308,False,False,False,42.44252395629883,21.61493682861328
2009-10-07,0.8692567099983712,0.5748828768324332,0.5714283146882606,False,False,False,42.9187126159668,21.510066986083984
2009-10-08,0.5488413393184537,0.5761907690136597,0.2348652980996768,False,False,False,44.16650390625,21.924034118652344
2009-10-09,0.08188618689663585,0.5770704572827943,-0.2578411721102219,False,False,False,44.341304779052734,21.570781707763672
2009-10-12,-0.20221201488340768,0.5762520950752881,-0.5510849755497598,False,False,False,44.546268463134766,21.394147872924805
2009-10-13,-0.11371358005656163,0.5817481985250678,-0.4649326472679073,False,False,False,43.828941345214844,21.134733200073242
2009-10-14,-0.1536945346630958,0.5859814909251522,-0.5177902757621727,False,False,False,44.95616912841797,21.80812644958496
2009-10-15,-0.29001796096869725,0.5864397254364332,-0.6706981638926383,False,False,False,44.82356262207031,21.603893280029297
2009-10-16,0.021644079307712616,0.589127162140114,-0.34748323705453166,False,False,False,43.431114196777344,21.134733200073242
2009-10-19,-0.19989218593504887,0.5907824723437534,-0.5971832047086034,False,False,False,44.77531814575195,21.730850219726562
2009-10-20,-0.2772635526085985,0.5923320761983827,-0.6898598495997381,False,False,False,43.551658630371094,20.95258140563965
2009-10-21,-0.350577299229613,0.5928849204245332,-0.7756794764030618,False,False,False,42.774070739746094,20.4282169342041
2009-10-22,-0.8567135325106605,0.5917620898263949,-1.3310310393543419,False,False,False,44.383514404296875,20.86426544189453
2009-10-23,-0.8271047481398561,0.5911156167984741,-1.3034470032053491,False,False,False,44.08815002441406,20.715240478515625
2009-10-26,-1.315392914618858,0.5895658002187809,-1.845433528026094,False,False,False,44.17253875732422,20.26262664794922
2009-10-27,-1.4529155139983736,0.5875117679636668,-2.0048799160478845,False,True,False,43.84703063964844,19.914892196655273
2009-10-28,-0.879889405992877,0.5881229742059593,-1.3834940315623026,False,False,False,42.062767028808594,19.451234817504883
2009-10-29,-0.41376662820893273,0.588181384618078,-0.8668742845003964,False,False,True,42.30388641357422,20.063915252685547
2009-10-30,0.017216149964148997,0.5887567615063607,-0.3894690415735717,False,False,False,41.459983825683594,20.00872802734375
2009-11-02,0.20101224518207061,0.5899481427841593,-0.18710645798050174,False,False,False,41.496131896972656,20.229507446289062
2009-11-03,0.2813933036835934,0.5906507718288581,-0.09813107579755624,False,False,False,42.14717102050781,20.704200744628906
2009-11-04,0.14676439290907695,0.5915771913500996,-0.2501000842198884,False,False,False,41.327354431152344,20.097028732299805
2009-11-05,0.17835772952994944,0.5917642643447927,-0.21309666571442554,False,False,False,41.960296630859375,20.505489349365234
2009-11-06,0.47989519292678295,0.5921741255965979,0.12568146263093313,False,False,False,40.70649337768555,20.06943702697754
2009-11-09,0.3109668409404627,0.5924563291694964,-0.06107765543086263,False,False,False,42.74995040893555,21.112648010253906
2009-11-10,0.2813317883913449,0.5929695515563638,-0.0913068495340494,False,False,False,42.87051010131836,21.156810760498047
2009-11-11,0.26685523844005843,0.5932425769094938,-0.10878454825551573,False,False,False,43.67824935913086,21.6259765625
2009-11-12,-0.036168747901331955,0.5934498719572362,-0.44760666597534554,False,False,False,43.5938606262207,21.27272605895996
2009-11-13,-0.02412639934393468,0.5934105522766158,-0.4327991753471857,False,False,False,44.29912185668945,21.703258514404297
2009-11-16,-0.03995214777179257,0.5933323223071503,-0.45082928028880365,False,False,False,45.052608489990234,22.1337833404541
2009-11-17,0.22074562495724592,0.5939977716705042,-0.1571630617351829,False,False,False,43.90729904174805,21.71980857849121
2009-11-18,0.13680520584531308,0.5941981532368966,-0.2532888974866647,False,False,False,44.42570495605469,21.94611930847168
2009-11-19,-0.22190318269159448,0.5946478913019336,-0.6560815707577451,False,False,False,43.56973648071289,21.07953643798828
2009-11-20,-0.009040265590890328,0.5949167250943654,-0.4200190532891635,False,False,False,43.394920349121094,21.189929962158203
2009-11-23,0.03395334144428119,0.5935915250932735,-0.38347753800450424,False,False,False,43.73249435424805,21.427268981933594
2009-11-24,0.19195096063749517,0.5926601069336864,-0.21809273174486954,False,False,False,42.91271209716797,21.101608276367188
2009-11-25,0.3758483560857542,0.5924860302749333,-0.016111525912603022,False,False,False,42.864471435546875,21.26719856262207
2009-11-27,0.3975735371322564,0.5925562380869598,0.001258181486904453,False,False,False,41.6649284362793,20.588285446166992
2009-11-30,0.078071491133894,0.592283338729391,-0.38761978019377713,False,False,False,43.54562759399414,21.38863754272461
2009-12-01,-0.14988657898739177,0.591646929956344,-0.6627609817533963,False,False,False,44.329280853271484,21.620452880859375
2009-12-02,-0.1553078849287175,0.590976199172549,-0.6733001631258585,False,False,False,45.07069396972656,22.050989151000977
2009-12-03,-0.042973585766098665,0.5906184546508342,-0.5432479730028201,False,False,False,44.70903015136719,21.951641082763672
2009-12-04,-0.22715303051749913,0.5898835218698621,-0.7745045403777944,False,False,False,46.378746032714844,22.75197982788086
2009-12-07,-0.3543321659555829,0.5898005090327655,-0.9356653303958187,False,False,False,45.583072662353516,22.16138458251953
2009-12-08,-0.8499710392073041,0.5890037495467242,-1.526895226585863,False,False,False,45.595123291015625,21.66461181640625
2009-12-09,-1.3922185427627767,0.587359853361898,-2.155449563157604,False,True,False,45.595123291015625,21.101608276367188
2009-12-10,-1.9049003710079795,0.5853206018535211,-2.723086737588076,False,False,False,45.757896423339844,20.660045623779297
2009-12-11,-1.95482689591352,0.582603522825548,-2.7384125998630715,False,False,False,46.2581901550293,20.869787216186523
2009-12-14,-1.517505476383164,0.5806210520894504,-2.202401609707295,False,False,False,47.13224792480469,21.791566848754883
2009-12-15,-1.532283716391035,0.5784958282375374,-2.2001905679771645,False,False,False,47.09607696533203,21.730850219726562
2009-12-16,-1.7132012518246071,0.576726737698456,-2.389042217214643,False,False,False,47.82545852661133,21.951641082763672
2009-12-17,-1.4896308482213136,0.575092795577095,-2.1077373116055824,False,False,False,47.62051773071289,22.035383224487305
2009-12-18,-1.5367707215900452,0.5731784899010571,-2.1322105394017257,False,False,False,48.11479568481445,22.241933822631836
2009-12-21,-1.6241069156768475,0.5710065949561235,-2.199910609023268,False,False,False,49.21791458129883,22.749984741210938
2009-12-22,-1.69825920319445,0.5687570338839523,-2.2518929962843206,False,False,False,49.977413177490234,23.068201065063477
2009-12-23,-1.944790179349745,0.5659822182191978,-2.483980194569164,False,False,False,51.35783004760742,23.553905487060547
2009-12-24,-1.9225010861551866,0.5632418270602735,-2.423176457728712,False,False,False,52.1956901550293,23.994953155517578
2009-12-28,-1.1635186206255526,0.561853038876031,-1.587124640451212,False,False,False,51.924442291259766,24.56998062133789
2009-12-29,-1.1252610248981405,0.5605054712994624,-1.5310658703433464,False,False,False,51.26842498779297,24.212671279907227
2009-12-30,-1.0304967397346587,0.5592183307262585,-1.4159611782866375,False,False,False,51.07350158691406,24.173601150512695
2009-12-31,-0.9372733322912197,0.5581298660850567,-1.3044196642267931,False,False,False,50.01366424560547,23.65439796447754
